"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          66,      -4.326110838,      -1.403730338,      -2.310224552,       1.131791274,      -7.972915109,     0.01026827336,      0.8887787472,                 0,                 0,                 0,      0.1257386521,    -0.02556335083,      0.8884703788,                 0,       86.55581285
          0,           0,          67,      -4.343753955,      -1.419823041,      -2.334966402,       1.114374089,      -7.977415065,     0.01027481122,      0.8889360558,                 0,                 0,                 0,      0.1257770913,    -0.02556315879,      0.8886278231,                 0,       86.51604755
          0,           0,          68,      -4.357690471,       -1.43539828,      -2.355608133,       1.100501034,      -7.982184148,     0.01028106255,      0.8890880719,                 0,                 0,                 0,       0.125814137,    -0.02556303972,      0.8887799676,                 0,       86.47822803
          0,           0,          69,      -4.369279367,      -1.450522839,      -2.372729549,       1.088864857,      -7.988965505,     0.01028710502,      0.8892353481,                 0,                 0,                 0,      0.1258501037,    -0.02556293831,      0.8889273676,                 0,       86.44174884
          0,           0,          70,      -4.379916537,      -1.465300426,      -2.387290499,       1.078130505,      -7.998247298,     0.01029299626,      0.8893785007,                 0,                 0,                 0,      0.1258852165,    -0.02556282179,      0.8890706414,                 0,       86.40618126
          0,           0,          71,      -4.390710737,      -1.479848808,      -2.400281704,       1.067240892,      -8.009627975,     0.01029875269,      0.8895178451,                 0,                 0,                 0,      0.1259195159,    -0.02556268648,      0.8892101046,                 0,       86.37141527
          0,           0,          72,      -4.402292795,       -1.49427506,      -2.412569463,        1.05559655,      -8.022278022,     0.01030434133,      0.8896531939,                 0,                 0,                 0,       0.125952832,    -0.02556255777,      0.8893455687,                 0,       86.33770616
          0,           0,          73,      -4.414826623,      -1.508660171,      -2.424869737,       1.043043575,       -8.03539335,     0.01030968935,       0.889783836,                 0,                 0,                 0,      0.1259848239,    -0.02556247978,      0.8894763201,                 0,       86.30559132
          0,           0,          74,      -4.428154173,      -1.523056746,       -2.43777739,       1.029733625,      -8.048564544,     0.01031469264,      0.8899085986,                 0,                 0,                 0,      0.1260150324,    -0.02556250927,       0.889601183,                 0,       86.27582322
          0,           0,          75,       -4.44208335,       -1.53749867,      -2.451707747,       1.015847449,      -8.061998937,     0.01031924981,      0.8900261469,                 0,                 0,                 0,      0.1260430063,    -0.02556269373,      0.8897188195,                 0,       86.24911342
          0,           0,          76,      -4.456525738,      -1.552012905,      -2.467002525,       1.001463787,      -8.076446787,     0.01032328628,      0.8901352722,                 0,                 0,                 0,      0.1260684099,    -0.02556305896,      0.8898280188,                 0,       86.22596027
          0,           0,          77,      -4.471603062,      -1.566627391,      -2.483844826,      0.9864584595,      -8.093006222,     0.01032677317,      0.8902351829,                 0,                 0,                 0,       0.126091111,    -0.02556360192,      0.8899279889,                 0,       86.20652051
          0,           0,          78,      -4.487646574,      -1.581376184,      -2.502266825,      0.9705070201,      -8.112820484,     0.01032973802,      0.8903257329,                 0,                 0,                 0,      0.1261112308,     -0.0255642892,      0.8900185848,                 0,       86.19054335
          0,           0,          79,       -4.50510698,      -1.596299311,      -2.522168976,      0.9531732338,      -8.136780623,     0.01033226247,      0.8904075162,                 0,                 0,                 0,      0.1261291369,    -0.02556506318,      0.8901004033,                 0,       86.17740004
          0,           0,          80,       -4.52441691,      -1.611437836,      -2.543348277,      0.9340425882,      -8.165294681,     0.01033446939,      0.8904818046,                 0,                 0,                 0,      0.1261453823,    -0.02556585234,      0.8901747203,                 0,       86.16618535
          0,           0,          81,      -4.545850614,      -1.626826529,      -2.565518027,      0.9128574793,      -8.198134753,      0.0103364998,      0.8905503479,                 0,                 0,                 0,      0.1261606071,    -0.02556658629,      0.8902432898,                 0,       86.15589076
          0,           0,          82,       -4.56941179,      -1.642486392,      -2.588307811,      0.8896239713,       -8.23435529,     0.01033848784,      0.8906150819,                 0,                 0,                 0,      0.1261754257,    -0.02556720905,      0.8903080514,                 0,       86.14558493
          0,           0,          83,      -4.594772343,      -1.658419772,      -2.611252564,      0.8646678836,      -8.272293017,     0.01034053907,      0.8906778178,                 0,                 0,                 0,      0.1261903288,    -0.02556768813,      0.8903708189,                 0,        86.1345634
          0,           0,          84,      -4.621278362,      -1.674610046,      -2.633801365,      0.8386248993,      -8.309681702,     0.01034271531,      0.8907399733,                 0,                 0,                 0,      0.1262056147,     -0.0255680189,      0.8904330116,                 0,       86.12244911
          0,           0,          85,      -4.648029274,      -1.691025442,      -2.655378241,      0.8123603731,      -8.343934352,     0.01034502889,      0.8908023958,                 0,                 0,                 0,      0.1262213613,    -0.02556822322,      0.8904954766,                 0,        86.1092226
          0,           0,          86,       -4.67401933,      -1.707625174,      -2.675494811,       0.786831419,      -8.372639805,     0.01034744719,      0.8908653067,                 0,                 0,                 0,      0.1262374449,    -0.02556834258,       0.890558434,                 0,       86.09517789
          0,           0,          87,      -4.698312673,      -1.724365806,      -2.693871133,       0.762920645,      -8.394223677,     0.01034990531,      0.8909283671,                 0,                 0,                 0,       0.126253594,    -0.02556842819,      0.8906215422,                 0,         86.080823
          0,           0,          88,      -4.720210711,      -1.741205586,      -2.710501799,      0.7412809522,      -8.408536846,     0.01035232314,      0.8909908316,                 0,                 0,                 0,      0.1262694628,    -0.02556853002,      0.8906840533,                 0,       86.06675227
          0,           0,          89,      -4.739379109,      -1.758107512,      -2.725635249,      0.7222204409,       -8.41700536,     0.01035462207,      0.8910517563,                 0,                 0,                 0,      0.1262847059,    -0.02556868861,      0.8907450212,                 0,       86.05352764
